ID,Item,FailureMode,Effect,Severity,Occurrence,Detection,RPN,ActionPriority,File,Line
FMEA-931,ipv6_enabled,Buffer overflow in ipv6_enabled(),Incorrect system behaviour or safety-function failure originating in ipv6_enabled (function),8,4,5,160,high,include/dds/rtps/participant.hpp,321
FMEA-2259,update_last_sample,Buffer overflow in update_last_sample(),Incorrect system behaviour or safety-function failure originating in update_last_sample (function),8,4,5,160,high,src/mock/participant.cpp,163
FMEA-895,persist_flush,Buffer overflow in persist_flush(),Incorrect system behaviour or safety-function failure originating in persist_flush (function),8,4,5,160,high,include/dds/rtps/persist.hpp,64
FMEA-898,TSNParams,State corruption in TSNParams(),Incorrect system behaviour or safety-function failure originating in TSNParams (class),8,4,5,160,high,include/dds/rtps/tsn.hpp,30
FMEA-2255,unsubscribe,Buffer overflow in unsubscribe(),Incorrect system behaviour or safety-function failure originating in unsubscribe (function),8,4,5,160,high,src/mock/participant.cpp,149
FMEA-902,TSNStreamConfig,State corruption in TSNStreamConfig(),Incorrect system behaviour or safety-function failure originating in TSNStreamConfig (class),8,4,5,160,high,include/dds/rtps/tsn.hpp,43
FMEA-2251,publish,Buffer overflow in publish(),Incorrect system behaviour or safety-function failure originating in publish (function),8,4,5,160,high,src/mock/participant.cpp,91
FMEA-906,ParticipantOptions,State corruption in ParticipantOptions(),Incorrect system behaviour or safety-function failure originating in ParticipantOptions (class),8,4,5,160,high,include/dds/rtps/participant.hpp,212
FMEA-910,Participant,State corruption in Participant(),Incorrect system behaviour or safety-function failure originating in Participant (class),8,4,5,160,high,include/dds/rtps/participant.hpp,274
FMEA-2246,Broker,State corruption in Broker(),Incorrect system behaviour or safety-function failure originating in Broker (class),8,4,5,160,high,src/mock/participant.cpp,81
FMEA-915,domain,Buffer overflow in domain(),Incorrect system behaviour or safety-function failure originating in domain (function),8,4,5,160,high,include/dds/rtps/participant.hpp,303
FMEA-2242,SubscriptionEntry,State corruption in SubscriptionEntry(),Incorrect system behaviour or safety-function failure originating in SubscriptionEntry (class),8,4,5,160,high,src/mock/participant.cpp,74
FMEA-919,meta_unicast_port,Buffer overflow in meta_unicast_port(),Incorrect system behaviour or safety-function failure originating in meta_unicast_port (function),8,4,5,160,high,include/dds/rtps/participant.hpp,310
FMEA-923,data_unicast_port,Buffer overflow in data_unicast_port(),Incorrect system behaviour or safety-function failure originating in data_unicast_port (function),8,4,5,160,high,include/dds/rtps/participant.hpp,311
FMEA-2238,DeliveryStats,State corruption in DeliveryStats(),Incorrect system behaviour or safety-function failure originating in DeliveryStats (class),8,4,5,160,high,src/mock/participant.cpp,66
FMEA-927,is_closed,Buffer overflow in is_closed(),Incorrect system behaviour or safety-function failure originating in is_closed (function),8,4,5,160,high,include/dds/rtps/participant.hpp,314
FMEA-891,new_guid_prefix,Buffer overflow in new_guid_prefix(),Incorrect system behaviour or safety-function failure originating in new_guid_prefix (function),8,4,5,160,high,include/dds/rtps/types.hpp,386
FMEA-2234,TopicCounters,State corruption in TopicCounters(),Incorrect system behaviour or safety-function failure originating in TopicCounters (class),8,4,5,160,high,src/mock/participant.cpp,56
FMEA-935,data_unicast_port_v6,Buffer overflow in data_unicast_port_v6(),Incorrect system behaviour or safety-function failure originating in data_unicast_port_v6 (function),8,4,5,160,high,include/dds/rtps/participant.hpp,322
FMEA-939,dds_metrics,Buffer overflow in dds_metrics(),Incorrect system behaviour or safety-function failure originating in dds_metrics (function),8,4,5,160,high,include/dds/rtps/participant.hpp,330
FMEA-2230,ParticipantCounters,State corruption in ParticipantCounters(),Incorrect system behaviour or safety-function failure originating in ParticipantCounters (class),8,4,5,160,high,src/mock/participant.cpp,38
FMEA-943,discovery_metrics,Buffer overflow in discovery_metrics(),Incorrect system behaviour or safety-function failure originating in discovery_metrics (function),8,4,5,160,high,include/dds/rtps/participant.hpp,333
FMEA-947,dds_health,Buffer overflow in dds_health(),Incorrect system behaviour or safety-function failure originating in dds_health (function),8,4,5,160,high,include/dds/rtps/participant.hpp,343
FMEA-2227,run_accept_loop,Buffer overflow in run_accept_loop(),Incorrect system behaviour or safety-function failure originating in run_accept_loop (function),8,4,5,160,high,src/bridge/rest/transport.cpp,530
FMEA-951,next_entity_ordinal,Buffer overflow in next_entity_ordinal(),Incorrect system behaviour or safety-function failure originating in next_entity_ordinal (function),8,4,5,160,high,include/dds/rtps/participant.hpp,356
FMEA-955,dispatch,Buffer overflow in dispatch(),Incorrect system behaviour or safety-function failure originating in dispatch (function),8,4,5,160,high,include/dds/rtps/participant.hpp,363
FMEA-2223,sink,Buffer overflow in sink(),Incorrect system behaviour or safety-function failure originating in sink (function),8,4,5,160,high,src/bridge/rest/transport.cpp,512
FMEA-959,send_data,Buffer overflow in send_data(),Incorrect system behaviour or safety-function failure originating in send_data (function),8,4,5,160,high,include/dds/rtps/participant.hpp,366
FMEA-963,register_reader,Buffer overflow in register_reader(),Incorrect system behaviour or safety-function failure originating in register_reader (function),8,4,5,160,high,include/dds/rtps/participant.hpp,383
FMEA-2219,handle_connection,Buffer overflow in handle_connection(),Incorrect system behaviour or safety-function failure originating in handle_connection (function),8,4,5,160,high,src/bridge/rest/transport.cpp,463
FMEA-967,unregister_reader,Buffer overflow in unregister_reader(),Incorrect system behaviour or safety-function failure originating in unregister_reader (function),8,4,5,160,high,include/dds/rtps/participant.hpp,384
FMEA-971,register_writer,Buffer overflow in register_writer(),Incorrect system behaviour or safety-function failure originating in register_writer (function),8,4,5,160,high,include/dds/rtps/participant.hpp,386
FMEA-850,DataSubmessage,State corruption in DataSubmessage(),Incorrect system behaviour or safety-function failure originating in DataSubmessage (class),8,4,5,160,high,include/dds/rtps/types.hpp,240
FMEA-815,encode,Buffer overflow in encode(),Incorrect system behaviour or safety-function failure originating in encode (function),8,4,5,160,high,include/dds/rtps/types.hpp,119
